user_id,perk,group
381259,Loyalty Rewards,Minimal Discount Seekers
381465,Free Cancellation,Business Breeze
382181,Loyalty Rewards,Minimal Discount Seekers
382384,Loyalty Rewards,Minimal Discount Seekers
382533,20% off on First Booking,High Intent Visitors
385689,Free Cancellation,Business Breeze
386255,20% off on First Booking,High Intent Visitors
386469,20% off on First Booking,High Intent Visitors
386914,Loyalty Rewards,Minimal Discount Seekers
387282,20% off on First Booking,High Intent Visitors
387783,Loyalty Rewards,Minimal Discount Seekers
388328,Free Cancellation,Business Breeze
388767,1 Night with Hotel Meal Free,Long Term Lodgers
388947,Loyalty Rewards,Minimal Discount Seekers
389434,Free Cancellation,Business Breeze
389662,Loyalty Rewards,Minimal Discount Seekers
389759,Loyalty Rewards,Minimal Discount Seekers
390811,Loyalty Rewards,Minimal Discount Seekers
392453,1 Night with Hotel Meal Free,Long Term Lodgers
395202,20% off on First Booking,High Intent Visitors
395981,Jet Miles Points,Frequent Travellers
396552,Jet Miles Points,Frequent Travellers
399137,Free Cancellation,Business Breeze
399218,Loyalty Rewards,Minimal Discount Seekers
399799,Jet Miles Points,Frequent Travellers
400275,Loyalty Rewards,Minimal Discount Seekers
400582,Free Cancellation,Business Breeze
400899,Free Cancellation,Business Breeze
401245,Loyalty Rewards,Minimal Discount Seekers
402332,Loyalty Rewards,Minimal Discount Seekers
402978,Free Cancellation,Business Breeze
403881,Jet Miles Points,Frequent Travellers
404879,Jet Miles Points,Frequent Travellers
405305,Loyalty Rewards,Minimal Discount Seekers
406210,Early Bird Bonuses,Pre Booked Nomands
407118,Loyalty Rewards,Minimal Discount Seekers
407250,Free Cancellation,Business Breeze
407275,Free Cancellation,Business Breeze
407434,20% off on First Booking,High Intent Visitors
407642,Loyalty Rewards,Minimal Discount Seekers
408551,Loyalty Rewards,Minimal Discount Seekers
409073,Loyalty Rewards,Minimal Discount Seekers
411179,1 Night with Hotel Meal Free,Long Term Lodgers
411701,Loyalty Rewards,Minimal Discount Seekers
413128,Free Cancellation,Business Breeze
413340,1 Night with Hotel Meal Free,Long Term Lodgers
413418,1 Extra Bag with VIP Lounge,Elite Flyers
413658,Loyalty Rewards,Minimal Discount Seekers
414128,Jet Miles Points,Frequent Travellers
415282,1 Extra Bag with VIP Lounge,Elite Flyers
415381,Loyalty Rewards,Minimal Discount Seekers
415581,Loyalty Rewards,Minimal Discount Seekers
416319,Loyalty Rewards,Minimal Discount Seekers
416580,Free Cancellation,Business Breeze
417679,Jet Miles Points,Frequent Travellers
418329,Jet Miles Points,Frequent Travellers
418488,Free Cancellation,Business Breeze
418692,1 Extra Bag with VIP Lounge,Elite Flyers
420648,Loyalty Rewards,Minimal Discount Seekers
420669,Loyalty Rewards,Minimal Discount Seekers
421247,Free Cancellation,Business Breeze
421515,Loyalty Rewards,Minimal Discount Seekers
421666,Loyalty Rewards,Minimal Discount Seekers
421700,Jet Miles Points,Frequent Travellers
421870,Jet Miles Points,Frequent Travellers
422066,Jet Miles Points,Frequent Travellers
422668,20% off on First Booking,High Intent Visitors
423042,Free Cancellation,Business Breeze
423413,20% off on First Booking,High Intent Visitors
424553,Loyalty Rewards,Minimal Discount Seekers
425632,Loyalty Rewards,Minimal Discount Seekers
425653,20% off on First Booking,High Intent Visitors
425953,Free Cancellation,Business Breeze
425966,Loyalty Rewards,Minimal Discount Seekers
426478,1 Night with Hotel Meal Free,Long Term Lodgers
427426,Loyalty Rewards,Minimal Discount Seekers
427506,Loyalty Rewards,Minimal Discount Seekers
428056,Jet Miles Points,Frequent Travellers
428552,Loyalty Rewards,Minimal Discount Seekers
428858,1 Night with Hotel Meal Free,Long Term Lodgers
429345,20% off on First Booking,High Intent Visitors
429375,Loyalty Rewards,Minimal Discount Seekers
430722,Free Cancellation,Business Breeze
431144,Loyalty Rewards,Minimal Discount Seekers
431337,Jet Miles Points,Frequent Travellers
431602,Loyalty Rewards,Minimal Discount Seekers
431746,1 Extra Bag with VIP Lounge,Elite Flyers
431899,20% off on First Booking,High Intent Visitors
431912,1 Extra Bag with VIP Lounge,Elite Flyers
432333,Loyalty Rewards,Minimal Discount Seekers
432637,Loyalty Rewards,Minimal Discount Seekers
432941,Free Cancellation,Business Breeze
433080,Jet Miles Points,Frequent Travellers
433339,Loyalty Rewards,Minimal Discount Seekers
433905,20% off on First Booking,High Intent Visitors
434238,Loyalty Rewards,Minimal Discount Seekers
434623,Free Cancellation,Business Breeze
435231,Loyalty Rewards,Minimal Discount Seekers
435596,Loyalty Rewards,Minimal Discount Seekers
435669,Loyalty Rewards,Minimal Discount Seekers
435837,20% off on First Booking,High Intent Visitors
435882,Loyalty Rewards,Minimal Discount Seekers
436320,Loyalty Rewards,Minimal Discount Seekers
436894,Loyalty Rewards,Minimal Discount Seekers
437069,Jet Miles Points,Frequent Travellers
437162,Loyalty Rewards,Minimal Discount Seekers
437251,Jet Miles Points,Frequent Travellers
437539,Free Cancellation,Business Breeze
437549,Jet Miles Points,Frequent Travellers
438189,Jet Miles Points,Frequent Travellers
438406,Free Cancellation,Business Breeze
438551,Loyalty Rewards,Minimal Discount Seekers
438596,Loyalty Rewards,Minimal Discount Seekers
438839,Loyalty Rewards,Minimal Discount Seekers
438937,Loyalty Rewards,Minimal Discount Seekers
438985,Loyalty Rewards,Minimal Discount Seekers
438995,20% off on First Booking,High Intent Visitors
439052,Free Cancellation,Business Breeze
439120,Loyalty Rewards,Minimal Discount Seekers
439363,Jet Miles Points,Frequent Travellers
440212,Loyalty Rewards,Minimal Discount Seekers
440655,Free Cancellation,Business Breeze
441200,Loyalty Rewards,Minimal Discount Seekers
441205,Loyalty Rewards,Minimal Discount Seekers
441448,Loyalty Rewards,Minimal Discount Seekers
441457,Loyalty Rewards,Minimal Discount Seekers
441982,Free Cancellation,Business Breeze
442484,Jet Miles Points,Frequent Travellers
442718,Jet Miles Points,Frequent Travellers
442812,20% off on First Booking,High Intent Visitors
442819,Loyalty Rewards,Minimal Discount Seekers
442833,Free Cancellation,Business Breeze
443305,Loyalty Rewards,Minimal Discount Seekers
443453,Free Cancellation,Business Breeze
443598,Loyalty Rewards,Minimal Discount Seekers
443652,Jet Miles Points,Frequent Travellers
444387,Jet Miles Points,Frequent Travellers
444885,1 Extra Bag with VIP Lounge,Elite Flyers
445351,Free Cancellation,Business Breeze
445515,Loyalty Rewards,Minimal Discount Seekers
446124,Free Cancellation,Business Breeze
446138,1 Night with Hotel Meal Free,Long Term Lodgers
446473,Loyalty Rewards,Minimal Discount Seekers
446933,Free Cancellation,Business Breeze
447053,Loyalty Rewards,Minimal Discount Seekers
447591,Loyalty Rewards,Minimal Discount Seekers
447737,Loyalty Rewards,Minimal Discount Seekers
447951,Loyalty Rewards,Minimal Discount Seekers
448025,Loyalty Rewards,Minimal Discount Seekers
448154,1 Extra Bag with VIP Lounge,Elite Flyers
448295,Loyalty Rewards,Minimal Discount Seekers
448467,20% off on First Booking,High Intent Visitors
448564,Free Cancellation,Business Breeze
449033,Jet Miles Points,Frequent Travellers
449326,Loyalty Rewards,Minimal Discount Seekers
449619,Free Cancellation,Business Breeze
449804,Free Cancellation,Business Breeze
449980,20% off on First Booking,High Intent Visitors
450164,Free Cancellation,Business Breeze
450193,1 Night with Hotel Meal Free,Long Term Lodgers
450305,Loyalty Rewards,Minimal Discount Seekers
450615,Jet Miles Points,Frequent Travellers
451291,Jet Miles Points,Frequent Travellers
451674,20% off on First Booking,High Intent Visitors
452034,Loyalty Rewards,Minimal Discount Seekers
452532,Loyalty Rewards,Minimal Discount Seekers
452594,Jet Miles Points,Frequent Travellers
452612,1 Extra Bag with VIP Lounge,Elite Flyers
453143,Jet Miles Points,Frequent Travellers
453168,Free Cancellation,Business Breeze
454264,Loyalty Rewards,Minimal Discount Seekers
454430,1 Extra Bag with VIP Lounge,Elite Flyers
454616,Loyalty Rewards,Minimal Discount Seekers
454661,Free Cancellation,Business Breeze
454920,Jet Miles Points,Frequent Travellers
454934,Loyalty Rewards,Minimal Discount Seekers
454955,Loyalty Rewards,Minimal Discount Seekers
456226,Jet Miles Points,Frequent Travellers
456318,Loyalty Rewards,Minimal Discount Seekers
456663,1 Extra Bag with VIP Lounge,Elite Flyers
456671,1 Extra Bag with VIP Lounge,Elite Flyers
457468,Jet Miles Points,Frequent Travellers
457599,Free Cancellation,Business Breeze
457967,20% off on First Booking,High Intent Visitors
458479,Free Cancellation,Business Breeze
458688,1 Night with Hotel Meal Free,Long Term Lodgers
458725,20% off on First Booking,High Intent Visitors
458762,Loyalty Rewards,Minimal Discount Seekers
458814,Jet Miles Points,Frequent Travellers
458855,Loyalty Rewards,Minimal Discount Seekers
458919,1 Extra Bag with VIP Lounge,Elite Flyers
459229,Free Cancellation,Business Breeze
459486,Loyalty Rewards,Minimal Discount Seekers
459645,1 Extra Bag with VIP Lounge,Elite Flyers
460072,Loyalty Rewards,Minimal Discount Seekers
460181,Loyalty Rewards,Minimal Discount Seekers
460553,Loyalty Rewards,Minimal Discount Seekers
460625,Free Cancellation,Business Breeze
461559,Free Cancellation,Business Breeze
461744,Loyalty Rewards,Minimal Discount Seekers
461791,Exclusive Discount,Budget Consious
462127,Loyalty Rewards,Minimal Discount Seekers
462456,Jet Miles Points,Frequent Travellers
462894,Loyalty Rewards,Minimal Discount Seekers
463652,Loyalty Rewards,Minimal Discount Seekers
463698,Jet Miles Points,Frequent Travellers
463783,1 Night with Hotel Meal Free,Long Term Lodgers
463867,Loyalty Rewards,Minimal Discount Seekers
463910,Jet Miles Points,Frequent Travellers
464080,1 Extra Bag with VIP Lounge,Elite Flyers
464160,1 Night with Hotel Meal Free,Long Term Lodgers
464239,Jet Miles Points,Frequent Travellers
464542,Loyalty Rewards,Minimal Discount Seekers
464597,20% off on First Booking,High Intent Visitors
464614,Jet Miles Points,Frequent Travellers
464673,1 Extra Bag with VIP Lounge,Elite Flyers
464782,Loyalty Rewards,Minimal Discount Seekers
464855,Loyalty Rewards,Minimal Discount Seekers
465138,Free Cancellation,Business Breeze
465343,Loyalty Rewards,Minimal Discount Seekers
465531,Loyalty Rewards,Minimal Discount Seekers
465568,20% off on First Booking,High Intent Visitors
465731,Loyalty Rewards,Minimal Discount Seekers
466205,Loyalty Rewards,Minimal Discount Seekers
466342,20% off on First Booking,High Intent Visitors
466723,Free Cancellation,Business Breeze
467007,Free Cancellation,Business Breeze
467092,20% off on First Booking,High Intent Visitors
467339,Loyalty Rewards,Minimal Discount Seekers
467809,Loyalty Rewards,Minimal Discount Seekers
467892,Jet Miles Points,Frequent Travellers
468106,Jet Miles Points,Frequent Travellers
468370,Jet Miles Points,Frequent Travellers
468409,Free Cancellation,Business Breeze
468666,Free Cancellation,Business Breeze
468801,Loyalty Rewards,Minimal Discount Seekers
468808,Jet Miles Points,Frequent Travellers
468832,Free Cancellation,Business Breeze
469237,20% off on First Booking,High Intent Visitors
469418,20% off on First Booking,High Intent Visitors
469440,Jet Miles Points,Frequent Travellers
469464,1 Extra Bag with VIP Lounge,Elite Flyers
469699,1 Extra Bag with VIP Lounge,Elite Flyers
469767,Free Cancellation,Business Breeze
469824,Jet Miles Points,Frequent Travellers
471077,Jet Miles Points,Frequent Travellers
471161,1 Extra Bag with VIP Lounge,Elite Flyers
471186,Loyalty Rewards,Minimal Discount Seekers
471500,Loyalty Rewards,Minimal Discount Seekers
471565,Loyalty Rewards,Minimal Discount Seekers
471649,20% off on First Booking,High Intent Visitors
471687,Jet Miles Points,Frequent Travellers
471717,Loyalty Rewards,Minimal Discount Seekers
471935,Loyalty Rewards,Minimal Discount Seekers
471946,20% off on First Booking,High Intent Visitors
471973,20% off on First Booking,High Intent Visitors
472394,Loyalty Rewards,Minimal Discount Seekers
472446,Loyalty Rewards,Minimal Discount Seekers
472614,Loyalty Rewards,Minimal Discount Seekers
472713,Jet Miles Points,Frequent Travellers
472785,Free Cancellation,Business Breeze
472966,Loyalty Rewards,Minimal Discount Seekers
473332,Free Cancellation,Business Breeze
473343,Loyalty Rewards,Minimal Discount Seekers
473402,Loyalty Rewards,Minimal Discount Seekers
473467,Jet Miles Points,Frequent Travellers
473568,Loyalty Rewards,Minimal Discount Seekers
473712,Free Cancellation,Business Breeze
473847,1 Extra Bag with VIP Lounge,Elite Flyers
474007,20% off on First Booking,High Intent Visitors
474120,Jet Miles Points,Frequent Travellers
474239,20% off on First Booking,High Intent Visitors
474261,Loyalty Rewards,Minimal Discount Seekers
474278,20% off on First Booking,High Intent Visitors
474384,Free Cancellation,Business Breeze
474464,Loyalty Rewards,Minimal Discount Seekers
474546,Jet Miles Points,Frequent Travellers
474951,Jet Miles Points,Frequent Travellers
474980,Loyalty Rewards,Minimal Discount Seekers
475060,Loyalty Rewards,Minimal Discount Seekers
475130,Jet Miles Points,Frequent Travellers
475467,Free Cancellation,Business Breeze
475531,Free Cancellation,Business Breeze
476081,Jet Miles Points,Frequent Travellers
476104,Jet Miles Points,Frequent Travellers
476124,Loyalty Rewards,Minimal Discount Seekers
476173,20% off on First Booking,High Intent Visitors
476270,Loyalty Rewards,Minimal Discount Seekers
476393,Loyalty Rewards,Minimal Discount Seekers
476436,Jet Miles Points,Frequent Travellers
476535,Free Cancellation,Business Breeze
476665,Jet Miles Points,Frequent Travellers
476693,Jet Miles Points,Frequent Travellers
476714,Jet Miles Points,Frequent Travellers
476742,1 Night with Hotel Meal Free,Long Term Lodgers
476916,20% off on First Booking,High Intent Visitors
476956,Loyalty Rewards,Minimal Discount Seekers
477285,Loyalty Rewards,Minimal Discount Seekers
477316,Jet Miles Points,Frequent Travellers
477597,Loyalty Rewards,Minimal Discount Seekers
477730,Free Cancellation,Business Breeze
477805,20% off on First Booking,High Intent Visitors
478003,Loyalty Rewards,Minimal Discount Seekers
478146,1 Extra Bag with VIP Lounge,Elite Flyers
478188,Loyalty Rewards,Minimal Discount Seekers
478228,1 Extra Bag with VIP Lounge,Elite Flyers
478291,Loyalty Rewards,Minimal Discount Seekers
478533,Loyalty Rewards,Minimal Discount Seekers
478585,Jet Miles Points,Frequent Travellers
478760,Loyalty Rewards,Minimal Discount Seekers
478801,Loyalty Rewards,Minimal Discount Seekers
478834,20% off on First Booking,High Intent Visitors
479071,Free Cancellation,Business Breeze
479078,Loyalty Rewards,Minimal Discount Seekers
479101,Loyalty Rewards,Minimal Discount Seekers
479254,Loyalty Rewards,Minimal Discount Seekers
479524,20% off on First Booking,High Intent Visitors
479785,20% off on First Booking,High Intent Visitors
480186,20% off on First Booking,High Intent Visitors
480313,Loyalty Rewards,Minimal Discount Seekers
480331,Loyalty Rewards,Minimal Discount Seekers
480690,Jet Miles Points,Frequent Travellers
480796,Loyalty Rewards,Minimal Discount Seekers
480877,Jet Miles Points,Frequent Travellers
480895,Loyalty Rewards,Minimal Discount Seekers
480975,20% off on First Booking,High Intent Visitors
481050,Loyalty Rewards,Minimal Discount Seekers
481245,1 Night with Hotel Meal Free,Long Term Lodgers
481292,Jet Miles Points,Frequent Travellers
481358,Loyalty Rewards,Minimal Discount Seekers
481554,Free Cancellation,Business Breeze
481622,Jet Miles Points,Frequent Travellers
481772,1 Night with Hotel Meal Free,Long Term Lodgers
481781,20% off on First Booking,High Intent Visitors
482264,Jet Miles Points,Frequent Travellers
482335,20% off on First Booking,High Intent Visitors
482424,Free Cancellation,Business Breeze
482548,Jet Miles Points,Frequent Travellers
482602,Jet Miles Points,Frequent Travellers
482621,1 Extra Bag with VIP Lounge,Elite Flyers
482630,Loyalty Rewards,Minimal Discount Seekers
482744,Free Cancellation,Business Breeze
482811,20% off on First Booking,High Intent Visitors
483224,1 Night with Hotel Meal Free,Long Term Lodgers
483237,Jet Miles Points,Frequent Travellers
483345,Jet Miles Points,Frequent Travellers
483480,Free Cancellation,Business Breeze
483483,Loyalty Rewards,Minimal Discount Seekers
483525,Loyalty Rewards,Minimal Discount Seekers
483603,Jet Miles Points,Frequent Travellers
483928,Jet Miles Points,Frequent Travellers
483982,Loyalty Rewards,Minimal Discount Seekers
484249,Loyalty Rewards,Minimal Discount Seekers
484342,20% off on First Booking,High Intent Visitors
484418,Jet Miles Points,Frequent Travellers
484987,Free Cancellation,Business Breeze
485149,Loyalty Rewards,Minimal Discount Seekers
485260,Loyalty Rewards,Minimal Discount Seekers
485393,20% off on First Booking,High Intent Visitors
485505,Loyalty Rewards,Minimal Discount Seekers
485518,20% off on First Booking,High Intent Visitors
485536,20% off on First Booking,High Intent Visitors
485544,Free Cancellation,Business Breeze
485591,Jet Miles Points,Frequent Travellers
485658,Loyalty Rewards,Minimal Discount Seekers
485780,Loyalty Rewards,Minimal Discount Seekers
485785,Loyalty Rewards,Minimal Discount Seekers
485891,Loyalty Rewards,Minimal Discount Seekers
485894,Loyalty Rewards,Minimal Discount Seekers
486046,20% off on First Booking,High Intent Visitors
486113,Loyalty Rewards,Minimal Discount Seekers
486191,20% off on First Booking,High Intent Visitors
486261,1 Extra Bag with VIP Lounge,Elite Flyers
486268,20% off on First Booking,High Intent Visitors
486270,Loyalty Rewards,Minimal Discount Seekers
486366,Loyalty Rewards,Minimal Discount Seekers
486447,20% off on First Booking,High Intent Visitors
486454,Loyalty Rewards,Minimal Discount Seekers
486605,Loyalty Rewards,Minimal Discount Seekers
486671,Free Cancellation,Business Breeze
486751,1 Extra Bag with VIP Lounge,Elite Flyers
486823,Loyalty Rewards,Minimal Discount Seekers
487002,Loyalty Rewards,Minimal Discount Seekers
487036,Loyalty Rewards,Minimal Discount Seekers
487040,Loyalty Rewards,Minimal Discount Seekers
487101,Free Cancellation,Business Breeze
487276,Jet Miles Points,Frequent Travellers
487352,Loyalty Rewards,Minimal Discount Seekers
487453,Jet Miles Points,Frequent Travellers
487637,Loyalty Rewards,Minimal Discount Seekers
487680,Loyalty Rewards,Minimal Discount Seekers
487715,Free Cancellation,Business Breeze
487858,Loyalty Rewards,Minimal Discount Seekers
487954,Jet Miles Points,Frequent Travellers
488009,Loyalty Rewards,Minimal Discount Seekers
488099,20% off on First Booking,High Intent Visitors
488246,20% off on First Booking,High Intent Visitors
488314,Jet Miles Points,Frequent Travellers
488410,Jet Miles Points,Frequent Travellers
488430,20% off on First Booking,High Intent Visitors
488462,Jet Miles Points,Frequent Travellers
488480,Loyalty Rewards,Minimal Discount Seekers
488511,Loyalty Rewards,Minimal Discount Seekers
488529,1 Extra Bag with VIP Lounge,Elite Flyers
488539,20% off on First Booking,High Intent Visitors
488672,Jet Miles Points,Frequent Travellers
488827,Free Cancellation,Business Breeze
488865,Jet Miles Points,Frequent Travellers
488870,Loyalty Rewards,Minimal Discount Seekers
488918,Free Cancellation,Business Breeze
488974,Loyalty Rewards,Minimal Discount Seekers
489096,Loyalty Rewards,Minimal Discount Seekers
489131,20% off on First Booking,High Intent Visitors
489575,Jet Miles Points,Frequent Travellers
489635,Jet Miles Points,Frequent Travellers
489661,20% off on First Booking,High Intent Visitors
489730,Free Cancellation,Business Breeze
489785,Loyalty Rewards,Minimal Discount Seekers
489786,20% off on First Booking,High Intent Visitors
489802,Loyalty Rewards,Minimal Discount Seekers
489844,Loyalty Rewards,Minimal Discount Seekers
489852,1 Extra Bag with VIP Lounge,Elite Flyers
489949,1 Extra Bag with VIP Lounge,Elite Flyers
489953,Free Cancellation,Business Breeze
489992,1 Extra Bag with VIP Lounge,Elite Flyers
490040,Free Cancellation,Business Breeze
490107,Free Cancellation,Business Breeze
490133,Jet Miles Points,Frequent Travellers
490201,Loyalty Rewards,Minimal Discount Seekers
490348,Loyalty Rewards,Minimal Discount Seekers
490358,1 Extra Bag with VIP Lounge,Elite Flyers
490517,Loyalty Rewards,Minimal Discount Seekers
490576,Loyalty Rewards,Minimal Discount Seekers
490608,1 Extra Bag with VIP Lounge,Elite Flyers
490629,Jet Miles Points,Frequent Travellers
490671,Free Cancellation,Business Breeze
491003,Loyalty Rewards,Minimal Discount Seekers
491124,Jet Miles Points,Frequent Travellers
491141,Free Cancellation,Business Breeze
491175,Jet Miles Points,Frequent Travellers
491182,Jet Miles Points,Frequent Travellers
491241,Loyalty Rewards,Minimal Discount Seekers
491266,Loyalty Rewards,Minimal Discount Seekers
491559,Jet Miles Points,Frequent Travellers
491597,1 Extra Bag with VIP Lounge,Elite Flyers
491617,1 Extra Bag with VIP Lounge,Elite Flyers
491706,Loyalty Rewards,Minimal Discount Seekers
491772,Free Cancellation,Business Breeze
491925,Free Cancellation,Business Breeze
491930,Jet Miles Points,Frequent Travellers
491995,20% off on First Booking,High Intent Visitors
492209,Free Cancellation,Business Breeze
492211,Loyalty Rewards,Minimal Discount Seekers
492287,1 Extra Bag with VIP Lounge,Elite Flyers
492371,Loyalty Rewards,Minimal Discount Seekers
492497,20% off on First Booking,High Intent Visitors
492614,20% off on First Booking,High Intent Visitors
492999,Loyalty Rewards,Minimal Discount Seekers
493177,Jet Miles Points,Frequent Travellers
493409,Jet Miles Points,Frequent Travellers
493476,Loyalty Rewards,Minimal Discount Seekers
493718,Free Cancellation,Business Breeze
494294,Jet Miles Points,Frequent Travellers
494374,Loyalty Rewards,Minimal Discount Seekers
494382,Jet Miles Points,Frequent Travellers
494441,20% off on First Booking,High Intent Visitors
494463,Jet Miles Points,Frequent Travellers
494484,1 Extra Bag with VIP Lounge,Elite Flyers
494590,Jet Miles Points,Frequent Travellers
494630,20% off on First Booking,High Intent Visitors
494680,Free Cancellation,Business Breeze
494704,Free Cancellation,Business Breeze
494985,Jet Miles Points,Frequent Travellers
495029,Loyalty Rewards,Minimal Discount Seekers
495042,Free Cancellation,Business Breeze
495080,Loyalty Rewards,Minimal Discount Seekers
495272,Loyalty Rewards,Minimal Discount Seekers
495273,Free Cancellation,Business Breeze
495386,Loyalty Rewards,Minimal Discount Seekers
495482,Free Cancellation,Business Breeze
495592,20% off on First Booking,High Intent Visitors
495603,Free Cancellation,Business Breeze
495727,Jet Miles Points,Frequent Travellers
496016,Jet Miles Points,Frequent Travellers
496074,20% off on First Booking,High Intent Visitors
496273,Loyalty Rewards,Minimal Discount Seekers
496286,Loyalty Rewards,Minimal Discount Seekers
496332,Free Cancellation,Business Breeze
496382,Jet Miles Points,Frequent Travellers
496408,Free Cancellation,Business Breeze
496566,Free Cancellation,Business Breeze
496899,Loyalty Rewards,Minimal Discount Seekers
496972,Loyalty Rewards,Minimal Discount Seekers
497042,Jet Miles Points,Frequent Travellers
497077,Free Cancellation,Business Breeze
497108,Free Cancellation,Business Breeze
497225,Jet Miles Points,Frequent Travellers
497475,Free Cancellation,Business Breeze
497615,Loyalty Rewards,Minimal Discount Seekers
497678,Loyalty Rewards,Minimal Discount Seekers
497680,Loyalty Rewards,Minimal Discount Seekers
497829,Loyalty Rewards,Minimal Discount Seekers
497915,Jet Miles Points,Frequent Travellers
498154,Loyalty Rewards,Minimal Discount Seekers
498199,Loyalty Rewards,Minimal Discount Seekers
498287,Jet Miles Points,Frequent Travellers
