"gender","age","married","has_children","home_country","user_id","median_page_clicks","num_sessions","median_session_duration_seconds","total_booked_trips","num_cancelled_trips","num_no_booking","num_not_completed_trips","num_completed_trips","num_round_trip_flights","num_one_way_flights","total_flights_booked","total_hotels_booked","median_flight_discount_amount","median_flight_base_price","median_flight_spent","median_hotel_spent","median_hotel_discount_amount","median_checked_bags","median_seats_booked","median_rooms","median_days_until_departure","median_days_until_checkin","median_days_stay_flight","median_night_stay_hotel","num_times_travelled_from_homeairport","num_times_travelled_to_homeairport","num_times_travelled_from_outside_homeairport","num_times_expensive_hotel_booked","num_times_expensive_flight_booked","num_weekend_trip","num_holiday_season_trip","avg_distance_flown"
"F","40","false","false","usa","220725","11","9","83","4","1","4","0","3","3","","6","2","","479.01","479.01","481","0.05","0","1","1","5.681678240740741","5.683155092592592","5","3.5","3","0","0","0","0","0","1","3128.076980234809"
"F","43","false","true","canada","224996","10","8","73.5","2","0","6","0","2","2","","4","1","","448.805","448.805","231","","0","1","1","8.802337962962962","8.850255729166667","2.5","1","2","0","0","0","0","0","0","2488.128262846516"
"F","43","false","false","usa","226367","13.5","8","98","3","0","5","0","3","3","","6","3","0.05","155.72","213.142","380","","1","1","1","7.178993055555556","7.281408159722222","3","2","3","0","0","1","0","0","1","1633.1960227085976"
"F","27","false","true","usa","228195","9","9","66","0","0","9","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"M","35","false","false","usa","228872","13","8","96","2","0","6","0","2","1","","2","2","","509.21","509.21","644","","1","1","1","5.359780092592593","6.395289293981481","6","6.5","1","0","0","0","0","0","0","2953.6730397354886"
"F","17","false","false","usa","229009","20","8","168.5","3","1","4","0","2","2","","4","2","","530.815","530.815","237","","0.5","1","1","9.058315972222221","9.29527795138889","2.5","1.5","2","0","0","0","0","0","0","3028.73236214432"
"F","26","false","false","usa","229108","13.5","8","101.5","1","1","6","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","47","true","false","usa","229330","15.5","8","117","4","0","4","0","4","4","","8","4","","414.79499999999996","829.5899999999999","278.5","","0","2","2","6.733935185185185","6.876571122685185","3","1","4","0","0","1","0","0","2","1175.6900050298536"
"F","18","false","false","usa","232647","10.5","8","82","2","0","6","0","2","1","","2","1","","237.1","237.1","2343","","1","1","1","7.603090277777778","2.1879050925925925","3","11","1","0","0","0","0","0","0","1436.751018608673"
"F","59","true","true","canada","249521","10.5","8","80","2","0","6","0","2","1","","2","2","","642.02","642.02","184.7","0.1","1","1","1","8.817546296296296","7.875139467592593","3","1.5","1","0","0","0","0","0","0","3739.589951281529"
"F","38","false","true","usa","252835","17","8","124","5","0","3","0","5","5","","10","4","0.3","389.21","389.21","325.5","","1","1","1","7.838125","8.566049565972222","4","3","5","0","0","0","0","0","1","1859.2391123662837"
"F","23","false","false","usa","258451","7","8","59.5","1","1","6","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","45","false","true","usa","264470","12","8","92","2","0","6","0","2","2","","4","2","0.05","436.51","417.60875","1063.5","","0.5","1","1","8.55556712962963","8.75896087962963","5.5","4.5","2","0","0","1","0","0","0","2391.635179278391"
"F","41","true","true","usa","276512","10","8","73","1","0","7","0","1","1","","2","1","","395.69","395.69","100","","1","1","1","10.192858796296296","10.395939525462962","3","1","1","0","0","0","0","0","0","2409.253288662373"
"F","37","false","false","usa","281952","21.5","8","161","2","0","6","0","2","2","","4","2","","342.36","342.36","118.15","0.15","1.5","1","1","7.668038194444444","7.847466059027777","2","1","2","0","0","0","0","0","1","1966.8305718481147"
"F","51","true","false","usa","283325","11.5","8","84.5","2","0","6","0","2","1","","2","2","0.1","453.27","407.943","1442","","0","1","1.5","5.519363425925926","9.159993836805555","6","3","1","0","0","1","0","0","0","2838.442946557796"
"F","41","true","false","usa","290123","20","9","146","7","0","2","0","7","6","1","13","6","","462.52","462.52","675","","1","1","1.5","6.706296296296296","6.686247685185185","2.5","2","7","0","0","2","0","0","2","2533.380197339184"
"F","51","true","false","usa","297546","26","8","193","5","0","3","0","5","4","","8","5","","351.555","577.945","460","0.05","1","1.5","1","5.860034722222222","6.55702505787037","5","4","4","0","0","0","0","0","1","1772.7370842413172"
"F","46","true","true","usa","298253","9.5","8","71.5","1","0","7","0","1","1","","2","0","","712.42","712.42","","","2","1","","6.497731481481481","","2","","1","0","0","0","0","0","0","4183.68105154044"
"F","39","true","false","usa","299476","13","9","95","1","0","8","0","1","1","","2","1","","192.38","192.38","71","","0","1","1","7.86943287037037","8.010574537037037","3","1","1","0","0","0","0","0","0","1090.0004072477632"
"F","21","false","false","usa","306165","10","8","73","0","0","8","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","60","true","true","usa","306819","15.5","8","113.5","2","1","5","0","1","1","","2","1","","50.16","50.16","370","","1","1","1","4.496226851851852","4.5949440393518515","3","1","1","0","0","1","0","0","0","293.18110814727305"
"M","31","true","false","usa","312488","7.5","8","57.5","1","0","7","0","1","1","","2","1","","407.1","407.1","299","","1","1","1","6.361504629629629","6.562830671296297","1","1","1","0","0","0","0","0","1","2171.5337603216926"
"F","52","false","false","usa","313724","17.5","8","128.5","5","1","2","0","4","3","","6","4","","351.51","351.51","573.5","","1","1","1.5","5.7026157407407405","6.791290046296297","4","2.5","3","0","0","1","0","0","0","1710.0279977104167"
"F","41","true","true","canada","316527","18.5","8","137.5","4","0","4","0","4","4","","8","4","","383.045","383.045","753","0.05","0","1","1","6.768200231481481","6.9499778356481485","4","2.5","4","0","0","2","0","0","0","1940.680351442159"
"F","41","false","true","usa","317688","19","8","140.5","4","0","4","0","4","4","","8","4","","345.935","345.935","141.45","0.05","0.5","1","1","8.736996527777778","8.914353819444445","3","1.5","4","0","0","1","0","0","2","1634.6874456759483"
"F","46","false","false","usa","322867","8","8","61","1","0","7","0","1","1","","2","1","","173.04","173.04","1323","","1","1","1","6.831712962962963","6.9630556712962965","8","7","1","0","0","0","0","0","0","919.997617427402"
"F","40","false","false","usa","324191","10.5","8","79","2","0","6","0","2","2","","4","2","","49.870000000000005","85.105","805","","0.5","1.5","1.5","10.16945023148148","10.261938252314815","6","4.5","2","0","0","1","0","0","0","176.27134554289609"
"F","55","false","false","usa","328590","22","8","163.5","3","1","4","0","2","2","","4","2","","1101.975","2703.005","1298.125","0.15","0.5","2","2","8.527413194444444","8.769216319444444","6.5","4.5","2","0","0","0","0","0","0","3196.694435594776"
"F","39","false","false","usa","330764","19.5","8","143","3","1","4","0","2","","","0","2","","","","547","","","","1","","6.191857638888889","","4.5","0","0","0","0","0","0","0",""
"F","43","true","true","usa","330893","13","8","99.5","3","0","5","0","3","3","","6","3","","348.24","348.24","236","","1","1","1","6.658807870370371","6.841421932870371","3","1","3","0","0","0","0","1","1","1603.354694102698"
"F","44","true","true","canada","331039","22","8","166.5","1","1","6","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","53","false","false","usa","334787","14.5","8","106","3","0","5","0","3","3","","6","3","0.05","254.02","254.02","326","","1","1","1","5.690381944444445","5.826062673611111","2","1","3","0","0","1","0","0","0","1377.959775622281"
"F","35","true","false","usa","337227","10","8","72","0","0","8","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","40","false","true","usa","338086","11.5","8","86","2","0","6","0","2","2","","4","2","","490.845","490.845","96","0.2","0.5","1","1","7.327754629629629","7.554091869212963","2.5","1.5","2","0","0","0","0","0","0","2658.554844024915"
"M","51","true","true","usa","340166","9","8","67.5","1","0","7","0","1","","","0","1","","","","474","","","","1","","3.0592939814814817","","2","0","0","0","0","0","0","0",""
"F","65","true","false","usa","343928","17","8","125.5","2","0","6","0","2","2","","4","1","0.2","2775.3099999999995","4308.13","348","","0.5","1.5","1","170.76122106481483","5.30637818287037","8","3","2","0","0","0","1","0","1","11233.101337738275"
"F","49","false","false","usa","347778","15","9","108","5","0","4","0","5","5","","10","4","","473.83","473.83","455","","1","1","1","6.642164351851852","7.11260457175926","3","2","5","0","0","0","0","0","2","2557.170654426593"
"F","28","false","false","canada","348817","15.5","8","113.5","4","0","4","0","4","3","","6","4","","524.22","524.22","364","","1","1","1","6.471585648148148","5.657835185185185","3","2","3","0","0","1","0","0","0","2522.8680668951015"
"F","67","true","false","usa","348863","10.5","8","78","0","0","8","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","49","false","false","usa","349132","13","9","100","3","0","6","0","3","2","","4","3","","360.53","855.2299999999999","999","0.1","0.5","2","1","7.103159722222222","7.744837962962963","4.5","4","2","0","0","0","0","0","0","1082.5033993933703"
"F","18","false","false","usa","350648","21.5","8","160","1","1","6","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","26","false","true","usa","353271","9.5","8","71","1","0","7","0","1","1","","2","1","","408.4","816.8","272","","0","2","2","5.485543981481482","5.631198148148148","1","1","1","0","0","0","0","0","0","1177.3169145652591"
"F","40","false","true","usa","353694","8","8","59","2","0","6","0","2","1","1","3","2","","230.685","356.76","817","","0.5","1.5","1.5","7.968917824074074","8.122849334490741","6","4.5","2","0","0","0","0","0","1","1336.32601700837"
"F","50","false","false","usa","354050","18.5","8","138","5","0","3","0","5","4","1","9","5","0.05","292.13","292.13","432","0.05","0","1","1","8.738761574074074","8.995945428240741","3.5","3","5","0","0","1","0","0","1","2093.0936158595055"
"F","49","false","false","usa","354260","13","8","96.5","2","0","6","0","2","2","","4","1","","582.505","582.505","520","","1","1","1","11.014322916666668","8.865627141203703","2.5","2","2","0","0","0","0","0","0","3215.735057728185"
"F","45","true","false","usa","354311","8","8","61.5","2","0","6","0","2","2","","4","1","","536.4449999999999","536.4449999999999","291","","0.5","1","1","7.225387731481481","6.685803414351852","2.5","3","2","0","0","0","0","0","0","3238.7131415521753"
"M","53","true","false","usa","354950","11","8","82","1","0","7","0","1","1","","2","1","","460.54","460.54","762","","1","1","1","4.553125","4.764742708333333","7","6","1","0","0","0","0","0","0","2618.462362173801"
"F","34","false","false","canada","356046","10.5","8","77","2","0","6","0","2","2","","4","2","","391.905","471.055","352.5","","0","1.5","1.5","8.49240162037037","8.67453677662037","3","2","2","0","0","0","0","1","0","1782.935588846813"
"F","41","true","true","usa","357737","20.5","8","148.5","5","1","2","0","4","3","","6","4","","677.09","677.09","233.4","0.07500000000000001","0","1","1","6.814826388888889","7.608060503472222","4","2","3","0","0","0","0","0","0","3872.355316895139"
"F","51","true","true","canada","359072","23.5","8","173.5","3","1","4","0","2","2","","4","2","","66.575","66.575","223.5","","0.5","1","1","8.56708912037037","8.670462297453703","3","1.5","2","0","0","0","0","0","0","385.59839050686776"
"F","42","true","false","usa","359080","13.5","8","102.5","4","0","4","0","4","4","","8","2","","637.3050000000001","637.3050000000001","691.5","0.2","1","1","1","10.145387731481481","7.255355092592593","3","2","4","0","0","2","0","0","0","4684.897493471022"
"M","55","false","false","canada","359653","14","8","105","2","0","6","0","2","2","","4","2","","392.165","392.165","324.6","0.1","1","1","1","7.001863425925926","7.20179050925926","3","1.5","2","0","0","0","0","0","0","2138.3980455686524"
"F","41","true","true","usa","361459","6","8","45.5","1","0","7","0","1","1","","2","1","","393.91","393.91","165","","1","1","1","6.965833333333333","7.168416666666666","3","1","1","0","0","0","0","0","0","2403.5430407745216"
"F","52","true","false","canada","361759","11","9","79","4","0","5","0","4","4","","8","3","","410.2","410.2","88","0.05","0.5","1","1","8.462667824074074","9.753396238425927","2.5","1","4","0","0","0","0","0","0","2133.3076218621604"
"F","31","false","false","usa","363535","14.5","8","108","3","1","4","0","2","1","1","3","2","0.1","368.355","562.2909999999999","300.5","","0.5","1.5","1.5","9.26","9.452427083333333","1","3","2","0","0","0","0","0","1","2098.1909747595387"
"F","45","false","false","usa","365825","18.5","8","133.5","2","1","5","0","1","1","","2","1","","64.63","64.63","950","","1","1","1","6.868287037037037","6.971413078703704","12","10","1","0","0","0","0","0","1","383.04736325462943"
"M","28","false","true","usa","371201","7","8","53","1","0","7","0","1","1","","2","0","","199.47","199.47","","","3","1","","8.687465277777777","","9","","1","0","0","0","0","0","0","1060.9488580245406"
"F","34","false","false","usa","372970","8","8","61.5","2","0","6","0","2","2","","4","2","","646.6500000000001","646.6500000000001","138","","0.5","1","1","6.772349537037037","7.04875787037037","2","0.5","2","0","0","0","0","0","0","4048.0877645008654"
"F","37","true","true","usa","373489","9","9","65","1","0","8","0","1","1","","2","1","0.25","7451.31","22353.93","1224","","3","4","2","223.89619212962964","224.51536608796297","13","12","1","0","0","0","1","0","0","20504.143209543832"
"M","42","false","false","usa","374331","9.5","8","74","2","1","5","0","1","","","0","1","","","","6720","","","","2","","6.204386574074074","","12","0","0","0","0","0","0","0",""
"F","35","true","false","usa","374340","6","9","43","1","0","8","0","1","1","","2","0","","3966.19","7932.38","","0.05","1","2","","336.6160185185185","","9","","1","0","0","0","0","0","0","16455.388252489083"
"F","25","false","false","usa","374341","11","8","81","3","0","5","0","3","","","0","3","","","","2058","","","","2","","7.548541666666667","","7","0","0","0","0","0","0","0",""
"F","20","false","false","usa","375160","5.5","8","40.5","0","0","8","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","53","false","false","usa","375729","16","8","120.5","3","0","5","0","3","3","","6","3","0.15000000000000002","238.04","233.75","213","","0","1","1","6.512581018518518","6.659548726851852","3","2","3","0","0","1","0","0","1","1877.015464621399"
"F","50","true","false","usa","375751","23","8","168","3","0","5","0","3","3","","6","2","","306.21","306.21","499.5","","0","1","1","8.458043981481481","8.332204050925926","4","3","3","0","0","0","0","0","0","1321.671711181997"
"F","42","false","false","usa","376159","12","8","91.5","2","0","6","0","2","1","","2","2","","367.24","367.24","354","","1","1","1","9.445856481481481","10.61618431712963","3","3","1","0","0","0","0","0","0","2175.006152558628"
"F","68","true","false","usa","377069","6","8","44.5","1","1","6","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","38","true","false","canada","377411","14","8","107","2","0","6","0","2","2","","4","2","0.2","504.305","952.768","513","","0","1.5","1.5","5.874265046296296","6.038973119212963","3.5","2.5","2","0","0","0","0","0","0","1493.4495584275169"
"F","40","true","true","usa","378565","19","8","144","5","0","3","0","5","2","","4","5","0.07500000000000001","354.815","343.9705","1240","","0.5","1","1","5.0145023148148145","7.2607901041666665","4.5","7","2","0","0","0","0","0","1","2021.5747115610534"
"F","56","true","false","usa","379543","12.5","8","91.5","3","0","5","0","3","3","","6","3","","431.87","431.87","282","","0","1","1","5.929201388888889","6.136045659722222","4","1","3","0","0","0","0","0","1","2196.6602684170643"
"F","50","true","true","usa","380434","9","8","67","3","0","5","0","3","3","","6","3","0.15","357.32","357.32","384","","0","1","1","9.978171296296296","10.129072858796297","5","2","3","0","0","2","0","0","2","1929.341973733958"
"F","44","false","false","usa","380436","13.5","8","99.5","1","0","7","0","1","1","","2","1","","113.25","113.25","594","0.1","1","1","1","9.858923611111111","9.971800694444445","6","4","1","0","0","0","0","0","0","576.1819985601524"
"F","46","false","true","usa","380757","10","8","72","3","0","5","0","3","2","1","5","3","","99.94","99.94","240.35","0.05","0","1","1","9.284444444444444","9.396885590277778","7.5","1","3","0","0","0","0","0","1","1693.1750848546426"
"F","54","true","false","usa","380874","14","8","104","3","0","5","0","3","3","","6","3","","135.08","135.08","177.6","0.2","1","1","1","5.5692361111111115","5.819206944444445","2","1","3","0","0","1","0","0","0","1430.3396297294432"
"F","46","false","false","usa","380949","20.5","8","152.5","5","1","2","0","4","4","","8","3","","437.28","437.28","435","","0","1","1","8.075017361111112","6.851724421296296","3","3","4","0","0","1","0","0","1","2065.6173157979183"
"F","21","false","true","usa","381259","8","8","60","1","0","7","0","1","1","","2","1","","719.48","719.48","68","","1","1","1","5.889259259259259","6.16294675925926","2","1","1","0","0","0","0","0","0","3816.768005261937"
"F","33","false","false","usa","381465","24","8","181","4","1","3","0","3","1","","2","3","0.1","324.87","324.87","1185","","0","1","1","6.490567129629629","4.317800925925926","3","5","1","0","0","0","0","0","1","1712.0270202241186"
"F","36","true","false","canada","382181","14","8","104","3","0","5","0","3","3","","6","2","","224.72","224.72","460","","1","1","1","5.242638888888889","5.945056626157408","4","2.5","3","0","0","0","0","0","1","2089.9447020787297"
"F","57","true","false","usa","382384","5.5","8","42.5","1","0","7","0","1","1","","2","1","","228.63","228.63","156","","1","1","1","9.664826388888889","9.812205034722222","2","1","1","0","0","0","0","0","0","1239.895526663839"
"F","18","false","false","usa","382533","5.5","8","40.5","0","0","8","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","49","false","true","usa","385689","11","8","82","4","0","4","0","4","3","","6","4","0.15000000000000002","546.73","546.73","633","","0","1","1","5.731875","10.309665567129631","3","3.5","3","0","0","0","0","0","0","1940.2176416958227"
"F","32","false","true","usa","386255","5.5","8","41","1","0","7","0","1","","","0","1","","","","2144","","","","2","","13.557997685185185","","4","0","0","0","0","0","0","0",""
"F","17","false","false","usa","386469","6","9","46","0","0","9","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"F","46","true","true","canada","386914","12.5","8","93","2","1","5","0","1","1","","2","1","","134.71","134.71","577.8","0.1","1","1","1","7.819791666666667","7.9374520833333335","3","2","1","0","0","1","0","0","0","652.4026067759777"
"F","30","false","true","usa","387282","10","8","75.5","1","0","7","0","1","","","0","1","","","","3564","0.1","","","3","","2.561273148148148","","4","0","0","0","1","0","0","0",""
"M","53","true","true","usa","387783","9","8","66","3","0","5","0","3","1","","2","3","","431.26","431.26","504","","0","1","1","8.195231481481482","8.401363773148148","2","1","1","0","0","0","0","0","0","2296.188043393657"
"F","50","true","true","canada","388328","16","9","120","5","0","4","0","5","3","","6","5","0.05","560.46","560.46","351","0.1","1","1","1","6.736504629629629","6.999699421296296","2","3","3","0","0","0","0","0","0","2451.7037762897517"
"F","44","true","true","usa","388767","7","8","53","1","0","7","0","1","1","","2","1","","372.34","372.34","1890","","1","1","1","5.772083333333334","5.964773958333334","11","10","1","0","0","0","0","0","0","2119.043462511673"
"M","40","false","false","usa","388947","6","9","46","3","0","6","1","3","3","","6","2","0.15","488.66","488.66","342","0.1","1","1","1","9.008425925925925","9.183089033564816","3","2","3","0","0","0","0","0","0","2373.170069640812"
"F","42","false","false","usa","389434","20.5","8","154","5","1","2","0","4","4","","8","4","0.2","521.325","458.13","269.5","","0","1","1","6.274953703703703","6.539386516203704","3","1.5","4","0","0","1","0","1","0","2395.537474070447"
"F","38","false","false","usa","389662","16","8","116","3","0","5","0","3","2","","4","3","0.1","330.09000000000003","315.5315","132","","1","1","1","9.166331018518518","9.633078703703704","3.5","1","2","0","0","0","0","0","0","1877.971150934258"
"F","33","false","true","usa","389759","8","8","60","3","0","5","0","3","3","","6","3","0.1","983.25","983.25","244","","0","1","1","3.9790625","4.370868229166667","2","1","3","0","0","0","0","1","1","3955.9332424739164"
"F","40","false","false","usa","390811","10","8","74","3","0","5","0","3","3","","6","3","","336.33","336.33","318","","1","1","1","7.538263888888889","7.7760248263888885","5","4","3","0","0","0","0","0","2","2120.3722912217963"
"F","58","false","false","usa","392453","8.5","8","64","1","0","7","0","1","1","","2","1","0.05","393.98","374.281","1166","","1","1","1","7.113576388888889","7.321269618055555","12","11","1","0","0","0","0","0","1","2501.8639303522496"
"F","26","false","false","usa","395202","7.5","8","57","1","0","7","0","1","","","0","1","","","","2964","","","","1","","3.5581597222222223","","13","0","0","0","0","0","0","0",""
"F","51","true","false","canada","395981","12","8","91.5","3","0","5","0","3","3","","6","3","0.2","517.37","517.37","458","","1","1","1","11.7109375","11.887503645833334","2","1","3","0","0","2","0","0","1","2642.5505977128146"
"F","45","true","false","canada","396552","12","8","88","4","0","4","0","4","2","2","6","4","","216.055","216.055","169.5","","0.5","1","1","8.453391203703703","8.602225578703703","2","1","4","0","0","0","0","0","0","1557.1521505812266"
"F","53","true","false","usa","399137","15.5","8","118","4","0","4","0","4","2","","4","4","0.25","415.735","415.735","904","","1","1","1","7.067748842592593","5.521054166666667","3.5","4","2","0","0","0","0","0","0","2243.84321920388"
"F","44","true","true","usa","399218","12","8","91","2","0","6","0","2","2","","4","1","","243.95000000000002","243.95000000000002","246","","0.5","1","1","7.216221064814815","8.005785358796297","2.5","2","2","0","0","0","0","0","0","1372.4273359330314"
"F","55","true","false","canada","399799","14.5","8","107.5","4","0","4","0","4","3","1","7","4","","354.07","354.07","121.5","","0.5","1","1","7.120445601851852","7.309423466435185","2","1","4","0","0","0","0","1","1","2008.7900179658168"
"F","56","true","true","usa","400275","7","8","50","2","0","6","0","2","2","","4","1","0.175","536.525","435.9705","1052","","0.5","1","1","9.453726851851851","7.57808443287037","3.5","4","2","0","0","0","0","0","0","3204.7988536283824"
"F","32","true","false","usa","400582","16","8","120.5","4","0","4","0","4","3","","6","4","0.1","207.32","200.9","480","","0","1","1","6.3891782407407405","6.121467997685185","3","2","3","0","0","1","0","0","1","1211.3015547344212"
"F","45","true","false","canada","400899","24","8","174.5","3","0","5","0","3","3","","6","3","","289.75","579.5","580","","1","1","1","6.568877314814815","6.873173668981481","6","4","3","0","0","1","0","0","1","1733.1181930309951"
"F","28","false","false","usa","401245","12","8","89","3","0","5","0","3","3","","6","2","0.1","364.14","329.688","361","","0","1","1","8.542094907407407","7.04726886574074","3","3","3","0","0","0","0","0","0","1798.81943592929"
